,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
1,Maruti Wagon R,2007,135000,50000,Petrol,Individual,Manual,First Owner
2,Hyundai Verna 1.6,2012,600000,100000,Diesel,Individual,Manual,First Owner
3,Datsun RediGO T,2017,250000,46000,Petrol,Individual,Manual,First Owner
4,Honda Amaze VX,2014,450000,141000,Diesel,Individual,Manual,Second Owner
5,Maruti Alto LX,2007,140000,125000,Petrol,Individual,Manual,First Owner
6,Hyundai Xcent 1.2,2016,550000,25000,Petrol,Individual,Manual,First Owner
7,Tata Indigo Grand,2014,240000,60000,Petrol,Individual,Manual,Second Owner
8,Hyundai Creta 1.6,2015,850000,25000,Petrol,Individual,Manual,First Owner
9,Maruti Celerio Green,2017,365000,78000,CNG,Individual,Manual,First Owner
10,Chevrolet Sail 1.2,2015,260000,35000,Petrol,Individual,Manual,First Owner
11,Tata Indigo Grand,2014,250000,100000,Petrol,Individual,Manual,First Owner
12,Toyota Corolla Altis,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
13,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
14,Maruti Wagon R,2007,135000,50000,Petrol,Individual,Manual,First Owner
15,Hyundai Verna 1.6,2012,600000,100000,Diesel,Individual,Manual,First Owner
16,Datsun RediGO T,2017,250000,46000,Petrol,Individual,Manual,First Owner
17,Honda Amaze VX,2014,450000,141000,Diesel,Individual,Manual,Second Owner
18,Maruti Alto LX,2007,140000,125000,Petrol,Individual,Manual,First Owner
19,Hyundai Xcent 1.2,2016,550000,25000,Petrol,Individual,Manual,First Owner
20,Tata Indigo Grand,2014,240000,60000,Petrol,Individual,Manual,Second Owner
21,Hyundai Creta 1.6,2015,850000,25000,Petrol,Individual,Manual,First Owner
22,Maruti Celerio Green,2017,365000,78000,CNG,Individual,Manual,First Owner
23,Chevrolet Sail 1.2,2015,260000,35000,Petrol,Individual,Manual,First Owner
24,Tata Indigo Grand,2014,250000,100000,Petrol,Individual,Manual,First Owner
25,Toyota Corolla Altis,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
26,Maruti Ciaz VXi,2015,585000,24000,Petrol,Dealer,Manual,First Owner
27,Hyundai Venue SX,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
28,Chevrolet Enjoy TCDi,2013,390000,33000,Diesel,Individual,Manual,Second Owner
29,Jaguar XF 2.2,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
30,Mercedes-Benz New C-Class,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
31,Maruti Vitara Brezza,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
32,Audi Q5 2.0,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
33,Honda City V,2018,930000,14500,Petrol,Dealer,Manual,First Owner
34,Tata Tigor 1.2,2018,525000,15000,Petrol,Individual,Manual,First Owner
35,Audi A6 2.0,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
36,Mercedes-Benz New C-Class,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
37,Skoda Superb Ambition,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
38,Toyota Corolla Altis,2016,900000,50000,Petrol,Individual,Automatic,First Owner
39,Toyota Innova 2.5,2015,1300000,80000,Diesel,Individual,Manual,First Owner
40,Jeep Compass 1.4,2019,1400000,10000,Petrol,Individual,Manual,First Owner
41,Mercedes-Benz E-Class E,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
42,Hyundai i10 Magna,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
43,BMW 3 Series,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
44,Audi Q7 35,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
45,Hyundai Elantra CRDi,2012,625000,40000,Diesel,Individual,Manual,First Owner
46,Mahindra Scorpio 1.99,2014,1050000,50000,Diesel,Individual,Manual,First Owner
47,Honda City i,2014,560000,74000,Diesel,Individual,Manual,Second Owner
48,Maruti Wagon R,2014,290000,64000,Petrol,Individual,Manual,Second Owner
49,Maruti Wagon R,2012,275000,60000,Petrol,Individual,Manual,Second Owner
50,Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner
51,Hyundai Santro Xing,2009,150000,79000,Petrol,Individual,Manual,Third Owner
52,Hyundai Grand i10,2019,500000,15000,Petrol,Individual,Manual,First Owner
53,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner
54,Maruti Swift Dzire,2017,725000,18500,Diesel,Dealer,Manual,First Owner
55,Maruti Eeco 5,2018,401000,10200,Petrol,Dealer,Manual,First Owner
56,Hyundai i20 Sportz,2018,750000,29000,Diesel,Dealer,Manual,First Owner
57,Maruti Omni Maruti,2018,310000,28000,Petrol,Dealer,Manual,First Owner
58,Maruti Swift ZDi,2016,665000,46000,Diesel,Dealer,Manual,First Owner
59,Hyundai i20 2015-2017,2014,465000,70000,Diesel,Dealer,Manual,First Owner
60,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner
61,Mahindra Jeep CL,1996,250000,35000,Diesel,Individual,Manual,Second Owner
62,Honda City i,2014,675000,90000,Diesel,Dealer,Manual,First Owner
63,Maruti Wagon R,2013,300000,80000,Petrol,Dealer,Manual,First Owner
64,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner
65,Hyundai EON Magna,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
66,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner
67,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
68,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner
69,Chevrolet Tavera Neo,2010,280000,350000,Diesel,Individual,Manual,Second Owner
70,Toyota Corolla Altis,2011,350000,230000,Diesel,Individual,Manual,First Owner
71,Mahindra Scorpio 1.99,2017,570000,60000,Diesel,Individual,Manual,First Owner
72,Hyundai EON Magna,2018,300000,31000,Petrol,Individual,Manual,First Owner
73,Tata Indigo Classic,2007,100000,39000,Diesel,Individual,Manual,First Owner
74,Toyota Innova 2.5,2009,500000,120000,Diesel,Individual,Manual,Third Owner
75,Tata Indica Vista,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
76,Maruti Swift 1.3,2006,130000,110000,Petrol,Individual,Manual,Third Owner
77,Ford EcoSport 1.5,2017,925000,35000,Diesel,Individual,Manual,First Owner
78,Maruti Ciaz 1.3,2018,750000,60000,Diesel,Individual,Manual,First Owner
79,Honda Civic 1.8,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
80,Hyundai i10 Sportz,2010,248000,63000,Petrol,Individual,Manual,Second Owner
81,Skoda Rapid 1.5,2014,450000,120000,Diesel,Individual,Manual,Second Owner
82,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner
83,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
84,Hyundai Grand i10,2015,450000,80000,Diesel,Individual,Manual,First Owner
85,Hyundai Elite i20,2019,650000,25000,Diesel,Individual,Manual,First Owner
86,Honda Amaze S,2016,495000,11958,Petrol,Dealer,Manual,First Owner
87,Honda Brio S,2015,371000,20000,Petrol,Dealer,Manual,First Owner
88,Hyundai Creta 1.6,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
89,Mercedes-Benz S-Class S,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
90,Mahindra XUV500 W8,2015,750000,70000,Diesel,Individual,Manual,First Owner
91,Renault Duster 85PS,2013,600000,120000,Diesel,Individual,Manual,First Owner
92,Hyundai Santro Xing,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
93,Mahindra Bolero 2011-2019,2013,325000,62200,Diesel,Dealer,Manual,First Owner
94,Audi A6 2.0,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
95,Fiat Avventura MULTIJET,2015,350000,53000,Diesel,Individual,Manual,Second Owner
96,Audi A8 4.2,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
97,Datsun RediGO 1.0,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
98,Volkswagen Jetta 1.4,2013,450000,50000,Petrol,Individual,Manual,First Owner
99,Audi A4 2.0,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
100,Honda Civic 1.8,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
101,Mercedes-Benz E-Class Exclusive,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
102,BMW X1 sDrive,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
103,Volvo V40 D3,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
104,Maruti SX4 Zxi,2008,175000,29173,Petrol,Dealer,Manual,First Owner
105,BMW 7 Series,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
106,Mahindra Bolero Power,2017,628000,120000,Diesel,Individual,Manual,First Owner
107,Hyundai Sonata CRDi,2010,600000,100000,Diesel,Individual,Manual,First Owner
108,Nissan Micra Active,2017,399000,30000,Petrol,Individual,Manual,First Owner
109,Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner
110,Hyundai Elite i20,2019,750000,15000,Petrol,Individual,Manual,First Owner
111,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner
112,Mahindra Xylo E4,2012,600000,60000,Diesel,Individual,Manual,First Owner
113,Maruti Wagon R,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
114,Maruti SX4 ZXI,2011,250000,110000,Petrol,Individual,Manual,Third Owner
115,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner
116,Hyundai Creta 1.4,2016,780000,60000,Diesel,Individual,Manual,First Owner
117,Maruti Swift Dzire,2014,434000,79350,Diesel,Individual,Manual,Second Owner
118,Hyundai Verna 1.6,2016,690000,80000,Petrol,Individual,Automatic,First Owner
119,Mahindra Scorpio LX,2014,555000,90000,Diesel,Individual,Manual,Second Owner
120,Maruti SX4 Vxi,2007,120000,90000,Petrol,Individual,Manual,Second Owner
121,Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner
122,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner
123,Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner
124,Maruti Baleno Delta,2018,550000,20000,Petrol,Individual,Manual,First Owner
125,Maruti Swift Vdi,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
126,Tata Nano Lx,2012,100000,50000,Petrol,Individual,Manual,Second Owner
127,Toyota Innova 2.5,2012,500000,100000,Diesel,Individual,Manual,First Owner
128,Maruti Ertiga SHVS,2016,800000,70000,Diesel,Individual,Manual,Second Owner
129,Hyundai Creta 1.6,2016,840000,70000,Diesel,Individual,Manual,Second Owner
130,Honda Amaze S,2016,490000,50000,Petrol,Individual,Manual,First Owner
131,Tata Indica Vista,2010,125000,81000,Diesel,Individual,Manual,Second Owner
132,Chevrolet Tavera Neo,2012,400000,120000,Diesel,Individual,Manual,Third Owner
133,Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
134,Ford Figo Aspire,2015,530000,14272,Petrol,Dealer,Manual,First Owner
135,Ford EcoSport 1.5,2017,840000,49213,Diesel,Dealer,Manual,First Owner
136,Hyundai i10 Sportz,2015,229999,40000,Petrol,Individual,Manual,First Owner
137,Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
138,Chevrolet Spark 1.0,2012,130000,80000,Petrol,Individual,Manual,First Owner
139,Hyundai EON Era,2015,200000,70000,Petrol,Individual,Manual,First Owner
140,Tata Indica Vista,2011,120000,70000,Diesel,Individual,Manual,First Owner
141,Hyundai Santro LP,2003,75000,57000,Petrol,Individual,Manual,First Owner
142,Tata Bolt Quadrajet,2016,250000,120000,Diesel,Individual,Manual,First Owner
143,Maruti 800 AC,2005,100000,30000,Petrol,Individual,Manual,First Owner
144,Hyundai EON Era,2013,280000,3240,Petrol,Individual,Manual,Second Owner
145,Hyundai i20 Magna,2015,540000,5000,Petrol,Individual,Manual,First Owner
146,Hyundai i20 1.2,2018,700000,10000,Petrol,Individual,Manual,First Owner
147,Maruti Ciaz VDi,2015,525000,100000,Diesel,Individual,Manual,First Owner
148,Hyundai i20 Asta,2016,430000,80000,Diesel,Individual,Manual,First Owner
149,Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner
150,Maruti Vitara Brezza,2018,800000,35000,Diesel,Individual,Manual,First Owner
151,Hyundai Santro Xing,2007,75000,114000,Petrol,Individual,Manual,Second Owner
152,Hyundai Getz 1.3,2008,210000,53772,Petrol,Individual,Manual,First Owner
153,Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner
154,Chevrolet Tavera Neo,2015,400000,120000,Diesel,Individual,Manual,First Owner
155,Hyundai EON Magna,2012,170000,60000,Petrol,Individual,Manual,First Owner
156,Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner
157,Maruti Wagon R,2014,210000,90000,LPG,Individual,Manual,First Owner
158,Maruti Wagon R,2020,240000,120000,Petrol,Individual,Manual,First Owner
159,Chevrolet Enjoy 1.3,2015,300000,175000,Diesel,Individual,Manual,First Owner
160,Chevrolet Spark 1.0,2011,99000,100000,Petrol,Individual,Manual,Third Owner
161,Honda City i,2014,620000,36000,Petrol,Individual,Manual,First Owner
162,Honda Amaze VX,2013,500000,30000,Diesel,Individual,Manual,First Owner
163,Jaguar XJ 5.0,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner
164,Honda Brio E,2013,260000,70000,Petrol,Individual,Manual,Second Owner
165,Maruti Swift VVT,2017,550000,60000,Petrol,Individual,Manual,First Owner
